"","X","Chiang.Mai","Chiang.Rai","Lampang","Lamphun","Mae.Hong.Son","Nan","Phayao","Phrae","Phetchabun","Phitsanulok","Sukhothai","Tak","Uttaradit","Kamphaeng.Phet","Nakhon.Sawan","Phichit","Uthai.Thani","Bangkok","Ang.Thong","Nonthaburi","P.Nakhon.S.Ayutthaya","Pathum.Thani","Chai.Nat","Lop.Buri","Saraburi","Sing.Buri","Kanchanaburi","Nakhon.Pathom","Ratchaburi","Suphan.Buri","Phetchaburi","Prachuap.Khiri.Khan","Samut.Sakhon","Samut.Songkhram","Chachoengsao","Nakhon.Nayok","Prachin.Buri","Sa.Kaeo","Samut.Prakan","Chanthaburi","Chon.Buri","Rayong","Trat","Loei","Nong.Bua.Lam.Phu","Nong.Khai","Udon.Thani","Kalasin","Mukdahan","Nakhon.Phanom","Sakon.Nakhon","Khon.Kaen","Maha.Sarakham","Roi.Et","Buri.Ram","Chaiyaphum","Nakhon.Ratchasima","Surin","Amnat.Charoen","Si.Sa.Ket","Ubon.Ratchathani","Yasothon","Chumphon","Ranong","Surat.Thani","Nakhon.Si.Thammarat","Phatthalung","Trang","Krabi","Phangnga","Phuket","Narathiwat","Pattani","Yala","Satun","Songkhla","Bungkan"
"93",93,125,43,11,2,31,22,8,21,4,14,32,53,13,36,48,39,13,213,5,38,18,12,1,30,35,0,12,51,103,8,45,15,35,14,21,8,47,13,25,91,18,40,9,5,8,1,4,43,4,6,12,49,35,48,38,34,50,57,15,54,35,19,38,7,71,330,40,2,28,2,27,67,41,37,4,54,10
"94",94,64,21,10,0,23,3,4,7,2,16,20,30,3,17,28,14,17,239,6,20,16,26,1,44,21,0,12,43,57,15,34,6,36,23,23,4,25,12,52,84,22,65,5,4,1,1,0,37,4,5,8,33,24,18,14,46,48,45,16,33,23,6,40,6,81,303,69,9,20,1,21,66,34,33,7,60,6
"95",95,32,42,9,3,22,0,4,7,4,8,7,44,3,17,37,18,34,367,16,19,25,22,6,65,7,0,17,61,103,8,74,22,47,21,23,8,11,9,47,49,37,69,6,8,0,0,0,7,1,1,4,17,15,12,15,28,57,27,11,18,18,10,41,6,41,246,59,0,30,0,10,48,16,27,5,25,4
"96",96,22,20,4,1,3,2,6,5,6,5,4,23,3,10,24,6,15,208,5,23,10,22,4,26,9,0,5,46,66,11,46,32,27,12,8,3,9,1,58,53,25,62,5,2,1,0,0,2,0,3,2,9,9,9,1,16,36,8,6,11,8,4,29,6,40,131,48,1,20,2,5,25,8,17,6,31,0
"97",97,15,5,4,0,9,0,0,0,2,3,2,12,2,5,13,0,9,286,9,12,13,11,7,27,18,0,15,75,53,4,34,17,31,15,6,3,18,8,60,26,64,72,19,0,0,0,2,3,0,3,1,1,2,10,5,12,22,5,1,9,6,2,26,17,29,102,27,1,21,14,7,13,8,3,5,26,0
"98",98,11,1,3,0,9,0,0,2,8,1,8,8,0,13,12,8,5,209,9,16,6,19,4,58,6,0,11,45,60,5,44,18,22,26,8,2,14,8,59,28,38,31,13,1,2,1,0,0,2,0,0,3,3,4,7,15,25,2,3,5,7,3,27,11,19,71,14,3,11,18,5,15,7,3,3,21,1
"99",99,7,1,0,1,1,2,0,5,5,4,20,16,0,16,19,23,4,178,15,14,9,9,5,57,10,0,26,54,147,18,45,18,47,41,13,3,32,7,57,43,44,76,26,7,1,6,2,9,6,7,0,10,14,13,13,24,28,11,4,17,27,1,22,9,22,60,11,0,15,8,8,15,3,7,3,8,2
"100",100,20,6,3,2,1,13,4,15,2,5,23,29,3,12,36,26,27,192,36,9,10,13,7,46,36,6,21,54,138,9,58,40,37,31,16,3,63,11,48,48,45,114,53,7,0,5,1,19,2,24,7,22,25,32,22,43,63,21,2,34,54,6,27,11,14,50,10,2,14,11,14,7,1,4,3,11,0
"101",101,140,111,41,8,13,60,27,79,19,18,40,114,5,31,146,49,76,441,108,24,30,19,18,169,66,11,38,52,198,41,101,52,33,33,37,13,136,23,83,122,143,201,77,57,10,7,5,44,7,40,76,47,50,99,49,142,146,88,11,121,134,18,43,13,16,50,20,2,24,24,12,7,9,5,0,22,1
"102",102,340,241,151,29,54,73,45,162,39,64,43,246,14,48,189,44,101,471,126,41,49,27,74,135,44,3,51,91,308,37,205,107,34,19,80,29,185,78,77,178,191,317,146,115,30,27,11,109,45,115,155,100,72,146,75,193,298,142,64,247,340,57,66,47,42,116,39,7,73,100,11,9,18,9,14,48,11
"103",103,530,215,174,29,133,101,44,263,54,103,30,296,33,78,293,56,172,705,107,87,61,38,47,99,72,1,134,180,520,58,347,93,46,47,169,68,299,125,116,283,279,342,138,117,17,32,6,126,34,106,144,162,74,172,78,245,543,223,91,319,548,107,61,41,51,190,51,18,135,94,48,36,17,13,18,67,19
"104",104,715,290,209,82,146,77,35,339,71,165,39,205,59,62,368,68,230,1103,108,95,76,57,56,138,100,0,149,279,593,50,282,103,38,80,202,72,297,204,141,271,286,270,60,150,6,24,18,207,47,114,99,186,108,207,223,407,644,512,111,488,699,226,64,26,67,161,34,8,94,58,29,43,11,7,5,77,31
"105",105,925,232,233,146,73,47,26,184,63,153,33,157,73,76,432,79,235,1270,107,91,129,77,46,282,96,0,105,240,514,82,249,111,75,91,342,121,264,186,143,207,176,220,43,101,10,23,21,196,49,68,35,209,114,201,166,333,777,430,80,412,463,147,53,15,60,148,26,5,64,44,33,29,12,10,3,103,48
"106",106,806,104,118,147,46,16,18,40,30,83,31,124,30,91,391,73,165,1895,87,168,158,109,49,277,67,0,85,185,232,73,164,86,127,65,279,24,160,97,176,165,237,193,31,94,7,23,11,105,23,44,14,152,79,121,68,182,634,240,35,284,307,55,45,12,41,133,26,5,56,38,47,45,13,6,13,140,60
"107",107,797,183,113,118,40,8,32,42,26,135,55,136,30,47,426,107,138,4273,57,344,162,180,53,231,59,0,101,196,195,106,170,113,225,55,388,18,110,75,297,182,316,212,36,82,14,14,25,158,30,44,12,161,121,133,96,134,555,229,23,251,238,31,44,21,71,178,39,0,38,45,64,55,16,15,15,135,57
"108",108,316,72,74,53,16,7,19,21,2,102,25,66,14,48,97,54,46,1715,12,180,48,57,29,61,43,0,50,112,34,37,55,61,132,37,172,3,36,38,195,57,186,97,33,20,5,4,4,84,15,24,4,62,35,80,74,43,198,107,12,281,99,13,18,15,39,153,50,6,7,24,45,43,32,15,7,116,6
"109",109,73,31,19,29,12,1,4,11,6,60,30,26,13,24,79,20,26,998,6,101,37,44,18,61,22,0,31,97,50,18,29,12,98,13,41,12,33,31,141,43,137,59,17,14,7,9,3,42,10,13,1,42,26,76,60,33,98,163,11,112,136,12,25,13,39,194,28,4,9,37,28,44,29,18,10,83,15
"110",110,24,19,20,8,12,4,3,5,12,37,17,18,6,4,58,36,14,440,3,26,39,14,5,55,24,0,14,50,41,10,15,18,38,4,22,18,27,23,71,31,70,45,19,21,3,16,5,25,7,4,1,35,34,64,65,29,67,109,14,69,102,18,19,12,27,130,16,6,10,19,20,25,10,9,20,53,22
"111",111,41,17,22,17,19,6,1,9,13,34,31,20,22,9,52,39,20,310,11,22,20,16,10,52,16,0,25,37,23,20,20,17,23,5,32,8,20,12,53,37,58,41,9,30,10,10,5,39,11,16,8,27,50,75,61,28,57,99,18,92,131,16,5,4,24,84,13,6,11,14,20,24,15,6,7,41,21
"112",112,57,26,14,16,29,3,23,2,16,15,7,19,11,15,15,9,8,124,7,7,18,3,4,11,6,0,7,8,13,8,14,6,8,4,7,0,7,12,21,16,31,33,14,20,8,5,2,22,8,6,10,13,28,31,13,15,38,73,12,47,81,16,6,5,12,30,9,3,10,16,11,12,19,5,6,23,18
"113",113,96,42,10,16,64,17,30,4,77,7,2,19,12,6,6,1,3,78,1,11,7,4,4,4,5,0,7,7,2,5,13,3,9,3,5,0,4,5,15,38,20,23,15,43,1,2,3,18,7,38,14,20,12,15,9,11,25,38,9,20,60,9,7,7,7,23,5,1,3,15,13,5,16,11,3,15,45
"114",114,260,108,24,32,83,45,14,6,155,32,1,31,12,6,13,2,5,63,1,13,14,7,3,2,6,0,7,11,10,3,14,2,5,2,9,4,21,5,9,62,8,32,18,118,11,8,6,55,68,53,29,52,14,61,23,33,66,133,24,60,132,22,18,9,14,50,9,10,13,48,10,24,20,11,20,33,86
"115",115,903,292,121,72,199,32,16,13,182,77,14,58,37,6,33,7,10,193,5,24,21,12,5,13,7,0,18,27,29,17,36,23,15,0,24,8,25,11,19,108,14,78,17,101,12,11,10,95,70,77,39,79,40,111,49,60,112,248,55,93,203,47,28,16,30,117,53,32,34,45,18,41,39,24,39,69,73
"116",116,1339,292,195,102,207,28,28,13,74,49,46,63,46,15,71,29,7,314,10,39,43,40,13,39,28,0,16,59,35,25,61,34,14,3,46,14,43,8,40,72,36,68,20,64,24,17,13,129,81,49,16,94,67,137,72,84,194,356,37,157,221,51,42,16,54,230,126,18,38,39,24,60,111,56,34,182,59
"117",117,700,154,82,47,147,4,28,8,21,46,50,43,36,18,52,21,14,309,24,26,45,36,23,52,20,1,12,55,39,31,58,19,36,2,51,1,25,20,27,41,47,31,7,49,24,16,7,77,48,20,11,66,63,106,61,62,129,212,17,160,120,41,34,5,88,268,142,16,28,20,14,61,97,77,14,328,22
"118",118,216,61,53,16,99,15,2,11,10,22,22,49,7,14,24,19,11,333,14,32,30,12,5,33,9,0,10,28,14,9,33,13,24,1,32,2,19,16,39,45,34,40,4,29,7,2,8,49,31,11,4,28,49,78,24,34,75,152,13,105,82,9,30,9,58,200,121,7,14,8,12,111,219,100,14,311,12
"119",119,182,38,13,7,52,11,0,8,3,20,6,39,6,5,18,9,7,364,1,33,14,15,3,8,11,0,2,16,5,12,25,22,22,2,25,0,16,4,27,40,19,23,11,9,2,4,4,6,19,10,0,12,23,32,14,11,53,67,5,31,38,4,14,8,53,208,137,11,19,6,20,103,183,75,9,286,7
"120",120,61,19,6,5,13,15,1,3,0,6,5,17,1,1,9,15,4,283,1,20,6,8,1,9,2,0,1,14,3,8,15,13,2,3,11,0,11,5,38,9,10,7,3,6,0,0,1,8,3,4,1,7,10,12,4,0,18,14,2,13,10,0,5,6,50,101,97,7,17,0,13,72,131,103,2,332,0
"121",121,33,14,4,3,2,10,0,1,0,8,1,4,2,1,9,3,1,200,6,26,8,10,2,8,10,0,4,10,10,11,24,12,8,2,13,1,17,1,25,5,27,11,5,5,0,0,2,15,3,2,3,6,9,9,6,13,18,22,1,15,7,0,11,9,71,158,99,2,3,14,11,81,89,43,2,317,0
"122",122,23,13,8,2,6,7,0,3,3,3,4,2,7,3,6,3,0,127,3,13,7,12,0,12,5,1,1,5,3,12,18,11,8,0,6,1,4,4,20,13,20,11,2,4,0,0,0,5,9,1,1,2,18,7,7,3,14,11,3,9,15,5,13,10,72,173,80,2,8,18,16,68,52,13,3,175,0
"123",123,27,5,8,6,6,2,0,2,6,12,0,7,4,9,7,8,0,119,2,9,7,6,1,7,2,0,1,15,6,11,19,6,12,2,5,2,7,5,23,8,22,8,2,5,2,2,2,6,12,3,6,3,8,8,3,7,26,30,2,14,18,3,19,17,76,133,59,2,9,9,11,47,24,13,5,104,0
